"product_name","category_name"
"Alice Mutton","Meat/Poultry"
"Aniseed Syrup","Condiments"
"Boston Crab Meat","Seafood"
"Camembert Pierrot","Dairy Products"
"Carnarvon Tigers","Seafood"
"Chai","Beverages"
"Chang","Beverages"
"Chartreuse verte","Beverages"
"Chef Anton's Cajun Seasoning","Condiments"
"Chef Anton's Gumbo Mix","Condiments"
"Chocolade","Confections"
"Côte de Blaye","Beverages"
"Escargots de Bourgogne","Seafood"
"Filo Mix","Grains/Cereals"
"Flotemysost","Dairy Products"
"Geitost","Dairy Products"
"Genen Shouyu","Condiments"
"Gnocchi di nonna Alice","Grains/Cereals"
"Gorgonzola Telino","Dairy Products"
"Grandma's Boysenberry Spread","Condiments"
"Gravad lax","Seafood"
"Guaraná Fantástica","Beverages"
"Gudbrandsdalsost","Dairy Products"
"Gula Malacca","Condiments"
"Gumbär Gummibärchen","Confections"
"Gustaf's Knäckebröd","Grains/Cereals"
"Ikura","Seafood"
"Inlagd Sill","Seafood"
"Ipoh Coffee","Beverages"
"Jack's New England Clam Chowder","Seafood"
"Konbu","Seafood"
"Lakkalikööri","Beverages"
"Laughing Lumberjack Lager","Beverages"
"Longlife Tofu","Produce"
"Louisiana Fiery Hot Pepper Sauce","Condiments"
"Louisiana Hot Spiced Okra","Condiments"
"Manjimup Dried Apples","Produce"
"Mascarpone Fabioli","Dairy Products"
"Maxilaku","Confections"
"Mishi Kobe Niku","Meat/Poultry"
"Mozzarella di Giovanni","Dairy Products"
"Nord-Ost Matjeshering","Seafood"
"Northwoods Cranberry Sauce","Condiments"
"NuNuCa Nuß-Nougat-Creme","Confections"
"Original Frankfurter grüne Soße","Condiments"
"Outback Lager","Beverages"
"Pâté chinois","Meat/Poultry"
"Pavlova","Confections"
"Perth Pasties","Meat/Poultry"
"Queso Cabrales","Dairy Products"
"Queso Manchego La Pastora","Dairy Products"
"Raclette Courdavault","Dairy Products"
"Ravioli Angelo","Grains/Cereals"
"Rhönbräu Klosterbier","Beverages"
"Röd Kaviar","Seafood"
"Rogede sild","Seafood"
"Rössle Sauerkraut","Produce"
"Sasquatch Ale","Beverages"
"Schoggi Schokolade","Confections"
"Scottish Longbreads","Confections"
"Singaporean Hokkien Fried Mee","Grains/Cereals"
"Sir Rodney's Marmalade","Confections"
"Sir Rodney's Scones","Confections"
"Sirop d'érable","Condiments"
"Spegesild","Seafood"
"Steeleye Stout","Beverages"
"Tarte au sucre","Confections"
"Teatime Chocolate Biscuits","Confections"
"Thüringer Rostbratwurst","Meat/Poultry"
"Tofu","Produce"
"Tourtière","Meat/Poultry"
"Tunnbröd","Grains/Cereals"
"Uncle Bob's Organic Dried Pears","Produce"
"Valkoinen suklaa","Confections"
"Vegie-spread","Condiments"
"Wimmers gute Semmelknödel","Grains/Cereals"
"Zaanse koeken","Confections"
